Regno,Crse/Prog,S,ES,Tutgroup,lab2,,lab4,,h2,,p1,,mid,,final
,,,,,         tutass,,,h1,,lab7,,f1,,lab10,
277635,3400,1,F,T1-yh,2,2,.,.,.,.,.,.,25,.,24
277791,3400,1,F,T5-ku,2,4,3,20,2.5,2.5,13,3,22,2.4,61
277926,3420,1,F,T4-ko,3,3,2,20,8,3,11.5,10,26,2.4,58
278097,3970/1060,1,F,T7-ko,3,5,2.5,18,19.5,3,19,18,36,2.4,82
278101,3420,1,F,T4-ko,3,4,3,19,19.5,3,8.5,10,32,2.4,70
278104,3400,1,F,T6-no,3,3,2,19,.,.,.,.,11.5,.,20
278666,3400,2,F,T3-ku,2,3,3,19,18,2,19,14,20,2.4,71
278985,3640,2,F,T3-ku,2,2,2,8,.,.,1,.,13.5,.,38
279049,3970/1000,2,F,T3-ku,2.5,4,2.5,20,13,2.5,17,15,28,2.4,77
285287,5452,1,F,T10-yh,3,4.5,2.5,18.5,19,2.5,20,20,38.3,2.5,88
480001,3420,1,F,T1-yh,2,4,3,18.5,.,2,.,.,6,1.5,27
874436,3970/0200,3,F,T6-no,0,3,1.5,8.5,.,2,6,.,14.5,2.4,42
874596,3661,3,F,T3-ku,2,0,2,.,.,.,.,.,10,.,11
883427,3970/1061,2,F,T1-yh,2,3,.,20,17.5,1,17,.,14.5,1,58
888225,8750,1,F,T10-yh,3,4.5,3,.,.,3,20,17,31,.,65
889136,3970/1000,2,F,T3-ku,2,1,.,.,.,.,.,.,9.5,.,23
895994,3970/1006,3,F,T8-no,3,2,1.5,16.5,.,2,12.5,10,.,2.4,50
896443,3400,1,F,T9-ko,3,5,2.5,19,.,3,8.5,.,13.5,2.4,53
896952,3970/0100,2,F,T8-no,2.5,1,1.5,.,.,.,.,.,5,.,7
1100066,3400,1,F,T4-ko,3,5,3,19,15.5,3,8.5,18,29,2.4,73
1101576,3971,2,FS,T3-ku,2.5,3,3,20,8,2.5,12,5,22,2.4,68
1101642,3970/1061,1,F,T10-yh,3,4,3,20,17,3,15.5,13,10.5,3,65
1105149,3970/6806,2,F,T8-no,2.5,2,2,19.5,18.5,3,16.5,7.5,8.5,2.4,56
1107111,3971,2,FS,T1-yh,2,3,2.5,17.5,8,2.5,19,11.5,19.5,2.5,66
1107692,3970/1061,2,F,T1-yh,2,3,2,18.5,14.5,2.5,18,9,18,3,56
1109227,3971,2,FS,T1-yh,2,5,3,20,19,3,14,19.5,43.5,2,95
1110118,3971,2,FS,T9-ko,3,5,3,18,18.5,3,18,15,32,2.4,79
1112032,3484,2,F,T3-ku,3,2,3,20,18,2.5,20,14,34.5,2.4,79
1112388,3484,2,F,T7-ko,2.5,5,1,8,7.5,3,.,.,15,.,56
1112594,3970/6806,2,F,T4-ko,.,0,2.5,.,16,.,10.5,.,18,.,54
1113047,3400,2,F,T8-no,2.5,3,1,19,.,.,.,.,19,.,26
